util_tier,pay_segment,variant,accepted,revenue,monthly_spend,default_flag,fraud_flag,limit_offered,exp_day
Low (<30%),On-time,control,0,0.0,21905.95,0,0,0.0,12
Low (<30%),On-time,control,1,97.73,28853.67,1,0,36219.13,12
Low (<30%),On-time,control,0,0.0,28488.09,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,63825.44,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,35205.94,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,76139.01,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,29135.12,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,46907.93,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,26870.15,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,119255.02,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,22530.96,0,0,0.0,11
Low (<30%),On-time,control,1,43.84,47636.54,0,0,55584.43,8
Low (<30%),On-time,control,0,0.0,56012.68,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,50178.63,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,37190.22,1,0,0.0,14
Low (<30%),On-time,control,0,0.0,38236.07,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,41703.93,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,37909.0,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,66064.35,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,123217.51,1,0,0.0,14
Low (<30%),On-time,control,0,0.0,30874.91,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,20569.06,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,39038.51,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,148197.28,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,27299.06,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,92596.2,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,94399.91,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,30935.23,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,54227.12,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,92101.2,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,33754.91,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,36851.62,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,30503.74,0,0,0.0,6
Low (<30%),On-time,control,1,62.81,24564.72,0,0,54927.17,13
Low (<30%),On-time,control,1,60.71,29489.99,0,0,20673.55,12
Low (<30%),On-time,control,0,0.0,22125.25,1,0,0.0,5
Low (<30%),On-time,control,0,0.0,41501.58,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,27762.97,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,45859.51,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,18741.53,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,48140.79,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,61895.91,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,15056.68,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,49191.36,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,75378.66,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,22284.01,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,94158.16,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,50309.76,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,28679.53,1,0,0.0,4
Low (<30%),On-time,control,0,0.0,39678.33,0,0,0.0,14
Low (<30%),On-time,control,1,87.58,53938.97,0,0,21276.21,4
Low (<30%),On-time,control,0,0.0,42380.67,0,0,0.0,3
Low (<30%),On-time,control,1,109.8,53413.72,0,0,29956.01,13
Low (<30%),On-time,control,0,0.0,25747.9,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,44405.8,0,0,0.0,5
Low (<30%),On-time,control,1,106.95,20122.38,0,0,37202.83,5
Low (<30%),On-time,control,0,0.0,38593.22,1,0,0.0,11
Low (<30%),On-time,control,0,0.0,25964.65,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,28245.23,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,75696.83,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,70410.66,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,55326.87,1,0,0.0,9
Low (<30%),On-time,control,0,0.0,23630.38,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,34830.22,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,74831.47,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,43796.25,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,130106.64,1,0,0.0,2
Low (<30%),On-time,control,0,0.0,49667.39,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,44912.41,0,0,0.0,6
Low (<30%),On-time,control,1,60.98,34957.44,0,0,30208.77,4
Low (<30%),On-time,control,0,0.0,43617.57,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,37805.51,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,58133.61,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,65827.71,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,27541.53,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,20969.59,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,16290.58,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,52598.38,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,23500.14,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,13904.94,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,49549.84,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,141909.49,1,0,0.0,6
Low (<30%),On-time,control,0,0.0,40676.65,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,62049.66,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,42504.26,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,38832.01,1,0,0.0,9
Low (<30%),On-time,control,0,0.0,64600.87,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,35288.33,1,0,0.0,3
Low (<30%),On-time,control,0,0.0,46636.61,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,47920.27,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,29213.9,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,67001.22,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,37382.77,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,27961.18,1,0,0.0,4
Low (<30%),On-time,control,0,0.0,53353.77,1,0,0.0,9
Low (<30%),On-time,control,0,0.0,26035.36,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,41379.28,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,40614.7,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,70220.3,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,51730.05,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,40292.94,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,61410.01,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,81760.44,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,53925.03,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,41012.05,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,21173.95,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,23953.94,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,35025.53,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,30082.2,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,37158.93,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,41972.5,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,53172.22,0,0,0.0,10
Low (<30%),On-time,control,1,47.94,39387.18,0,0,13129.42,9
Low (<30%),On-time,control,0,0.0,52036.25,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,42137.03,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,15194.85,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,25508.76,1,0,0.0,3
Low (<30%),On-time,control,0,0.0,37964.29,1,0,0.0,10
Low (<30%),On-time,control,0,0.0,22283.41,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,55072.7,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,87712.56,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,75043.7,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,36670.34,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,85974.67,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,43948.72,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,34471.98,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,30023.74,1,0,0.0,11
Low (<30%),On-time,control,0,0.0,35073.81,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,33602.53,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,44429.24,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,44211.13,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,40862.5,1,0,0.0,12
Low (<30%),On-time,control,0,0.0,50762.54,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,73996.13,0,0,0.0,1
Low (<30%),On-time,control,1,76.08,65592.85,0,0,36437.18,14
Low (<30%),On-time,control,0,0.0,19418.78,1,0,0.0,7
Low (<30%),On-time,control,0,0.0,11378.54,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,65095.12,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,20599.16,0,0,0.0,8
Low (<30%),On-time,control,1,59.11,36463.33,0,0,50684.29,1
Low (<30%),On-time,control,1,74.49,22728.81,1,0,48479.02,11
Low (<30%),On-time,control,0,0.0,16571.75,1,0,0.0,7
Low (<30%),On-time,control,0,0.0,53486.06,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,59636.47,1,0,0.0,4
Low (<30%),On-time,control,0,0.0,30582.7,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,11169.3,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,31049.03,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,49629.81,1,0,0.0,12
Low (<30%),On-time,control,0,0.0,19476.99,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,44717.71,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,40489.18,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,54507.34,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,43314.17,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,25082.12,0,0,0.0,12
Low (<30%),On-time,control,1,45.86,74215.68,0,0,50269.3,5
Low (<30%),On-time,control,0,0.0,37691.13,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,40247.08,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,25586.27,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,32689.32,1,0,0.0,10
Low (<30%),On-time,control,0,0.0,26213.86,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,37420.42,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,96018.79,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,20547.5,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,18208.87,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,85138.12,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,36745.94,1,0,0.0,8
Low (<30%),On-time,control,0,0.0,29199.55,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,68623.98,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,30140.87,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,101666.16,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,57262.88,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,31967.95,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,119982.25,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,30139.37,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,59129.94,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,47386.43,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,78222.73,1,0,0.0,6
Low (<30%),On-time,control,0,0.0,89072.02,0,0,0.0,2
Low (<30%),On-time,control,1,59.75,41458.45,0,0,34011.76,1
Low (<30%),On-time,control,0,0.0,27993.74,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,51350.56,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,29073.64,0,0,0.0,6
Low (<30%),On-time,control,1,37.52,111651.6,0,0,53976.37,14
Low (<30%),On-time,control,0,0.0,43682.93,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,33988.73,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,44747.24,1,0,0.0,12
Low (<30%),On-time,control,0,0.0,20803.61,1,0,0.0,9
Low (<30%),On-time,control,0,0.0,25100.37,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,74358.4,1,0,0.0,10
Low (<30%),On-time,control,0,0.0,29377.9,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,24172.95,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,53357.58,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,73813.51,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,58449.69,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,67135.54,1,0,0.0,8
Low (<30%),On-time,control,0,0.0,27946.5,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,20041.08,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,86431.87,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,34721.18,1,0,0.0,5
Low (<30%),On-time,control,0,0.0,35991.15,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,79264.21,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,53882.44,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,51245.79,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,120444.72,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,29575.03,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,64884.56,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,41980.12,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,46664.6,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,87612.52,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,52594.29,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,53401.44,0,0,0.0,9
